,precision,recall,f1-score,support
0,0.95937711577522,0.9600271002710027,0.9597019979681679,1476.0
1,0.7951388888888888,0.7923875432525952,0.7937608318890815,289.0
accuracy,0.9325779036827195,0.9325779036827195,0.9325779036827195,0.9325779036827195
macro avg,0.8772580023320544,0.8762073217617989,0.8767314149286247,1765.0
weighted avg,0.932484850862954,0.9325779036827195,0.9325308948538019,1765.0
